,5
Hereditary_cancer-predisposing_syndrome|Familial_adenomatous_polyposis_1,80
Familial_adenomatous_polyposis_1,79
"Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_1",78
Phenylketonuria|not_provided,76
Ataxia-telangiectasia_syndrome|Hereditary_cancer-predisposing_syndrome|not_provided,76
Retinoblastoma,76
Duchenne_muscular_dystrophy|not_provided,74
"Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1|Cardiovascular_phenotype",74
Fabry_disease|not_provided,73
Hereditary_nonpolyposis_colorectal_neoplasms,72
Rare_genetic_deafness,72
Cardiovascular_phenotype|not_provided,70
Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|not_provided,67
Ornithine_carbamoyltransferase_deficiency|not_provided,67
"Autosomal_recessive_ataxia,_Beauce_type|Emery-Dreifuss_muscular_dystrophy_4,_autosomal_dominant|not_specified|not_provided",67
"Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1|Cardiovascular_phenotype|not_provided",65
"Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2",65
Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|not_specified|Cardiovascular_phenotype|not_provided,58
Cardiovascular_phenotype,58
Primary_ciliary_dyskinesia|not_specified|not_provided,58
Long_QT_syndrome|not_provided,57
CFTR-related_disorders|Cystic_fibrosis,56
Primary_ciliary_dyskinesia,55
Heterotopia,54
Wilson_disease|not_provided,52
"Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",51
Primary_dilated_cardiomyopathy,51
Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome,50
Ataxia-telangiectasia_syndrome|Hereditary_cancer-predisposing_syndrome,49
Menkes_kinky-hair_syndrome,49
Tuberous_sclerosis_2,48
Lynch_syndrome|Hereditary_nonpolyposis_colorectal_neoplasms,48
Nemaline_myopathy_2|not_specified|not_provided,47
"Hypercholesterolemia,_familial,_1|Cardiovascular_phenotype",47
Inborn_genetic_diseases|not_provided,46
Tuberous_sclerosis_syndrome|Tuberous_sclerosis_2|not_provided,45
Tuberous_sclerosis_syndrome|Tuberous_sclerosis_2,44
"Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_provided",44
"Multiple_endocrine_neoplasia,_type_1",43
Lissencephaly_due_to_LIS1_mutation,43
Familial_adenomatous_polyposis_1|not_provided,43
Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|not_specified|not_provided,42
Usher_syndrome_type_2C|not_specified|not_provided,42
Cystic_fibrosis,42
"Hereditary_breast_ovarian_cancer_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",42
Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|not_provided,42
"Microcephaly_5,_primary,_autosomal_recessive|not_specified|not_provided",41
Familial_thoracic_aortic_aneurysm_and_aortic_dissection|not_provided,41
Rubinstein-Taybi_syndrome_due_to_CREBBP_mutations,41
"Hereditary_breast_ovarian_cancer_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_provided",41
"Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",41
Retinitis_pigmentosa|not_provided,40
Hypertrophic_cardiomyopathy|Cardiovascular_phenotype|not_provided,40
"Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|not_provided",40
Rett_syndrome,39
Hereditary_factor_IX_deficiency_disease,39
Peutz-Jeghers_syndrome,37
Usher_syndrome_type_1|Usher_syndrome_type_1D|Autosomal_recessive_nonsyndromic_hearing_loss_12|not_specified|not_provided,37
Inborn_genetic_diseases|not_specified|not_provided,36
"Multiple_endocrine_neoplasia,_type_1|Hereditary_cancer-predisposing_syndrome|not_provided",35
Primary_ciliary_dyskinesia|not_specified,35
Tuberous_sclerosis_syndrome|Tuberous_sclerosis_2|Hereditary_cancer-predisposing_syndrome|not_provided,34
Tramadol_response,34
"Autosomal_recessive_ataxia,_Beauce_type|Emery-Dreifuss_muscular_dystrophy_4,_autosomal_dominant|not_provided",34
"Cardiomyopathy|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|not_provided",33
Autosomal_recessive_nonsyndromic_hearing_loss_9|not_specified|not_provided,33
Ataxia-telangiectasia_syndrome|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|not_provided,33
"Microcephaly_5,_primary,_autosomal_recessive",33
Long_QT_syndrome,32
Bethlem_myopathy_1|Collagen_6-related_myopathy|not_provided,32
Autosomal_recessive_nonsyndromic_hearing_loss_3|not_specified|not_provided,32
Cardiomyopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|not_specified|Cardiovascular_phenotype|not_provided,32
"Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1|not_provided",32
Autosomal_recessive_nonsyndromic_hearing_loss_77|not_specified|not_provided,32
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified",31
Primary_ciliary_dyskinesia|not_provided,31
"Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|not_provided",31
Bethlem_myopathy_1|Collagen_6-related_myopathy|not_specified|not_provided,31
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",30
Tuberous_sclerosis_1,30
Retinoblastoma|Hereditary_cancer-predisposing_syndrome,30
Very_long_chain_acyl-CoA_dehydrogenase_deficiency|not_provided,30
CFTR-related_disorders|Cystic_fibrosis|not_provided,30
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|Breast_and/or_ovarian_cancer|not_provided",30
Von_Hippel-Lindau_syndrome,29
Tuberous_sclerosis_syndrome|not_provided,29
Kabuki_syndrome_1,29
Autosomal_recessive_nonsyndromic_hearing_loss_30|not_specified|not_provided,29
Retinal_dystrophy|not_provided,29
Long_QT_syndrome|Congenital_long_QT_syndrome|not_provided,29
Nemaline_myopathy_2|not_provided,28
Marfan_syndrome|not_provided,28
Cardiomyopathy|Hypertrophic_cardiomyopathy|Cardiovascular_phenotype|not_provided,28
"Neurofibromatosis,_type_2",28
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_specified",27
Familial_adenomatous_polyposis_2|Hereditary_cancer-predisposing_syndrome,27
"Epidermolysis_bullosa_simplex,_Ogna_type|Epidermolysis_bullosa_simplex_5B,_with_muscular_dystrophy|Epidermolysis_bullosa_simplex_5C,_with_pyloric_atresia|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2Q|Epidermolysis_bullosa_simplex_with_nail_dystrophy|not_specified|not_provided",27
Familial_adenomatous_polyposis_2|Hereditary_cancer-predisposing_syndrome|not_provided,27
Usher_syndrome_type_2A|not_specified|not_provided,27
CFTR-related_disorders|Hereditary_pancreatitis|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|Cystic_fibrosis|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|not_specified|not_provided,27
Lowe_syndrome,27
Fabry_disease,27
Long_QT_syndrome|Cardiovascular_phenotype|not_provided,27
Dystrophin_deficiency|Cardiomyopathy|Becker_muscular_dystrophy|Dilated_cardiomyopathy_3B|Duchenne_muscular_dystrophy|not_specified|Cardiovascular_phenotype|not_provided,27
Tuberous_sclerosis_syndrome,26
"Ehlers-Danlos_syndrome,_type_4|not_provided",26
"Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_provided",26
Carcinoma_of_colon,25
Tuberous_sclerosis_2|Hereditary_cancer-predisposing_syndrome|not_provided,25
Lynch_syndrome|Hereditary_cancer-predisposing_syndrome|not_provided,25
Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|not_provided,25
Dubin-Johnson_syndrome|not_provided,25
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|Breast_and/or_ovarian_cancer|not_provided",25
"Hypercholesterolemia,_familial,_1|not_provided",25
Hypertrophic_cardiomyopathy|Cardiovascular_phenotype,25
"Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|Cardiovascular_phenotype",24
Donnai-Barrow_syndrome|not_specified|not_provided,24
RYR1-Related_Disorders,24
not_provided|Rare_genetic_deafness,24
Congenital_long_QT_syndrome|not_provided,24
Hereditary_cancer-predisposing_syndrome|Familial_adenomatous_polyposis_1|not_specified|not_provided,24
Brugada_syndrome,24
Bethlem_myopathy_1|not_provided,24
Hereditary_nonpolyposis_colorectal_neoplasms|not_provided,24
Retinitis_pigmentosa|not_specified|not_provided,24
Microcephalic_osteodysplastic_primordial_dwarfism_type_II|not_specified|not_provided,24
"Ciliary_dyskinesia,_primary,_37|Spermatogenic_failure_18",24
Galactosemia|Deficiency_of_UDPglucose-hexose-1-phosphate_uridylyltransferase|not_provided,24
Early_infantile_epileptic_encephalopathy_with_suppression_bursts|not_provided,24
"Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1|Homozygous_familial_hypercholesterolemia|Cardiovascular_phenotype|not_provided",24
Lynch_syndrome|not_provided,24
Cardiomyopathy|Hypertrophic_cardiomyopathy|not_provided,23
Li-Fraumeni_syndrome_1|Hereditary_cancer-predisposing_syndrome|Li-Fraumeni_syndrome|not_provided,23
"Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1|Hypercholesterolemia,_autosomal_dominant,_type_B|Familial_hypobetalipoproteinemia_1|not_specified|Cardiovascular_phenotype|not_provided",23
"Microcephaly_5,_primary,_autosomal_recessive|not_provided",23
"Ehlers-Danlos_syndrome,_type_4|Familial_thoracic_aortic_aneurysm_and_aortic_dissection",23
CFTR-related_disorders|Cystic_fibrosis|not_specified|not_provided,23
Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast,23
Retinitis_pigmentosa,23
CHARGE_association,23
Maturity_onset_diabetes_mellitus_in_young|Maturity-onset_diabetes_of_the_young_type_2,23
Nemaline_myopathy_2,23
Nemaline_myopathy_2|not_specified,23
Epileptic_encephalopathy,23
Tuberous_sclerosis_syndrome|Tuberous_sclerosis_2|Hereditary_cancer-predisposing_syndrome|not_specified|not_provided,22
"Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_specified|not_provided",22
"Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1|not_specified|Cardiovascular_phenotype|not_provided",22
Hereditary_breast_ovarian_cancer_syndrome|not_provided,22
Medium-chain_acyl-coenzyme_A_dehydrogenase_deficiency|not_provided,22
"Developmental_and_epileptic_encephalopathy,_2",22
Juvenile_polyposis_syndrome,22
Hereditary_cancer-predisposing_syndrome|Hereditary_nonpolyposis_colorectal_neoplasms|not_specified|not_provided,22
Hereditary_factor_VIII_deficiency_disease,22
Central_core_myopathy|not_provided,21
Hypohidrotic_X-linked_ectodermal_dysplasia,21
Sotos_syndrome_1|not_provided,21
Catecholaminergic_polymorphic_ventricular_tachycardia|not_provided,21
Cohen_syndrome|Inborn_genetic_diseases|not_specified|not_provided,21
"Emery-Dreifuss_muscular_dystrophy_5,_autosomal_dominant|not_specified|not_provided",21
Propionic_acidemia|not_provided,21
"Emery-Dreifuss_muscular_dystrophy_5,_autosomal_dominant|not_provided",21
Maple_syrup_urine_disease|not_provided,21
Peutz-Jeghers_syndrome|Hereditary_cancer-predisposing_syndrome|not_provided,21
Primary_dilated_cardiomyopathy|not_provided,21
"Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_provided",21
Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Cardiovascular_phenotype|not_provided,21
Duchenne_muscular_dystrophy,21
Long_QT_syndrome|Congenital_long_QT_syndrome|Cardiovascular_phenotype|not_provided,21
"Ehlers-Danlos_syndrome,_type_4|Familial_thoracic_aortic_aneurysm_and_aortic_dissection|not_provided",21
Early_infantile_epileptic_encephalopathy_with_suppression_bursts,21
Tuberous_sclerosis_syndrome|Tuberous_sclerosis_1,21
Age_related_macular_degeneration_1|not_provided,20
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_provided",20
Fraser_syndrome_1|not_specified|not_provided,20
Brugada_syndrome|not_provided,20
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|Breast_and/or_ovarian_cancer|not_provided",20
Usher_syndrome_type_1|Usher_syndrome_type_1F|not_specified|not_provided,20
Fabry_disease|Migalastat_response,20
"Pseudoxanthoma_elasticum,_forme_fruste|Pseudoxanthoma_elasticum|Arterial_calcification,_generalized,_of_infancy,_2|not_provided",20
Hypertrophic_cardiomyopathy|not_specified|not_provided,20
Peutz-Jeghers_syndrome|Hereditary_cancer-predisposing_syndrome,20
Bethlem_myopathy_1|not_specified|not_provided,19
Biotinidase_deficiency|not_provided,19
"Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",19
"Medulloblastoma|Malignant_tumor_of_prostate|Hereditary_breast_ovarian_cancer_syndrome|Wilms_tumor_1|Fanconi_anemia_complementation_group_D1|Glioma_susceptibility_3|Pancreatic_cancer,_susceptibility_to,_2|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",19
Wilson_disease|Inborn_genetic_diseases|not_provided,19
Autosomal_recessive_polycystic_kidney_disease|not_provided,19
"Multiple_endocrine_neoplasia,_type_1|not_provided",19
Cardiomyopathy|Hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_4|Left_ventricular_noncompaction_10|not_specified|Cardiovascular_phenotype|not_provided,19
"Microcephaly_2,_primary,_autosomal_recessive,_with_or_without_cortical_malformations|not_specified|not_provided",19
Von_Hippel-Lindau_syndrome|Chuvash_polycythemia|Hereditary_cancer-predisposing_syndrome,19
"Congenital_multicore_myopathy_with_external_ophthalmoplegia|Central_core_myopathy|Malignant_hyperthermia,_susceptibility_to,_1|Neuromuscular_disease,_congenital,_with_uniform_type_1_fiber|not_specified|RYR1-Related_Disorders|not_provided",19
Chondrodysplasia_punctata_2_X-linked_dominant,19
Imerslund-Grasbeck_syndrome|Imerslund-Grasbeck_syndrome_type_1|not_provided,19
"Multiple_endocrine_neoplasia,_type_1|Hereditary_cancer-predisposing_syndrome",19
Primary_ciliary_dyskinesia|Primary_ciliary_dyskinesia_3|not_specified,18
"Long_QT_syndrome|Cardiac_arrhythmia,_ankyrin-B-related|not_specified|Cardiovascular_phenotype|not_provided",18
Retinal_dystrophy|Severe_early-childhood-onset_retinal_dystrophy|not_provided,18
Renal_carnitine_transport_defect|not_provided,18
Dystrophin_deficiency|Cardiomyopathy|Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|not_provided,18
"Mitochondrial_complex_I_deficiency,_nuclear_type_1|not_specified|not_provided",18
Deficiency_of_UDPglucose-hexose-1-phosphate_uridylyltransferase|not_provided,18
PTEN_hamartoma_tumor_syndrome,18
Ataxia-telangiectasia_syndrome|Hereditary_cancer-predisposing_syndrome|not_specified|not_provided,18
Early_infantile_epileptic_encephalopathy_with_suppression_bursts|Severe_myoclonic_epilepsy_in_infancy,18
Primary_ciliary_dyskinesia|Primary_ciliary_dyskinesia_3|not_specified|not_provided,18
Multiple_fibrofolliculomas|Hereditary_cancer-predisposing_syndrome|not_provided,18
"Febrile_seizures,_familial,_4|Usher_syndrome_type_2C|not_specified|not_provided",18
Metachromatic_leukodystrophy|not_provided,18
Cardiomyopathy|Hypertrophic_cardiomyopathy|not_specified|not_provided,18
"Microcephaly,_normal_intelligence_and_immunodeficiency|Hereditary_cancer-predisposing_syndrome|not_provided",18
Tuberous_sclerosis_2|not_provided,18
CFTR-related_disorders|Cystic_fibrosis|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|not_provided,17
Skeletal_dysplasia|Spondyloepiphyseal_dysplasia_with_congenital_joint_dislocations|Larsen_syndrome|Spondyloepiphyseal_dysplasia_congenita,17
Lynch_syndrome_1|Hereditary_cancer-predisposing_syndrome|Hereditary_nonpolyposis_colorectal_neoplasms|not_provided,17
Brugada_syndrome|Cardiovascular_phenotype|not_provided,17
Charcot-Marie-Tooth_disease_type_2|not_provided,17
CFTR-related_disorders|Hereditary_pancreatitis|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|Cystic_fibrosis|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|not_provided,17
Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2A|not_provided,17
"Walker-Warburg_congenital_muscular_dystrophy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2K|Muscular_dystrophy-dystroglycanopathy_(congenital_with_intellectual_disability),_type_B1|not_specified|not_provided",17
"Microcephaly_1,_primary,_autosomal_recessive|not_specified|not_provided",17
Charcot-Marie-Tooth_disease_type_2,17
Fanconi_anemia_complementation_group_J|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|not_provided,17
Spastic_paraplegia|Charlevoix-Saguenay_spastic_ataxia|Hereditary_spastic_paraplegia|not_specified|not_provided,17
Arrhythmogenic_right_ventricular_cardiomyopathy,17
Pheochromocytoma|Gastrointestinal_stromal_tumor|Paragangliomas_4,17
Desmin-related_myofibrillar_myopathy|not_provided,17
Progressive_sclerosing_poliodystrophy|not_provided,17
Rett_syndrome|not_provided,17
Severe_early-childhood-onset_retinal_dystrophy|not_provided,17
Cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_2|Catecholaminergic_polymorphic_ventricular_tachycardia_1|Catecholaminergic_polymorphic_ventricular_tachycardia|not_specified|Cardiovascular_phenotype|not_provided,17
Early_infantile_epileptic_encephalopathy_with_suppression_bursts|Severe_myoclonic_epilepsy_in_infancy|not_provided,17
"Glutaric_aciduria,_type_1|not_provided",17
Lynch_syndrome|Lynch_syndrome_1|Hereditary_cancer-predisposing_syndrome|Hereditary_nonpolyposis_colorectal_neoplasms|not_provided,16
Cardiomyopathy|Arrhythmogenic_cardiomyopathy_with_woolly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Skin_fragility-woolly_hair-palmoplantar_keratoderma_syndrome|Lethal_acantholytic_epidermolysis_bullosa|not_specified|Cardiovascular_phenotype|not_provided,16
Marfan_syndrome|Familial_thoracic_aortic_aneurysm_and_aortic_dissection|Marfan_Syndrome/Loeys-Dietz_Syndrome/Familial_Thoracic_Aortic_Aneurysms_and_Dissections|not_provided,16
"Primary_dilated_cardiomyopathy|Cardiomyopathy|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided",16
"Pulmonary_disease,_chronic_obstructive,_susceptibility_to",16
Propionic_acidemia,16
Arrhythmogenic_cardiomyopathy_with_woolly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8,16
Norman-Roberts_syndrome|Familial_temporal_lobe_epilepsy_7|not_specified|not_provided,16
Cardiomyopathy|Hypertrophic_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided,16
Von_Hippel-Lindau_syndrome|Chuvash_polycythemia|Hereditary_cancer-predisposing_syndrome|not_provided,16
Usher_syndrome_type_1|Autosomal_recessive_nonsyndromic_hearing_loss_2|Autosomal_dominant_nonsyndromic_hearing_loss_11|Usher_syndrome_type_1B|not_specified|not_provided,16
"Mucopolysaccharidosis,_MPS-II",16
Severe_X-linked_myotubular_myopathy|not_provided,16
"Primary_hyperoxaluria,_type_I|not_provided",16
CHARGE_association|not_provided,16
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2",16
Cornelia_de_Lange_syndrome_1|not_provided,16
Von_Hippel-Lindau_syndrome|Chuvash_polycythemia,16
Bloom_syndrome|Hereditary_cancer-predisposing_syndrome|not_specified|not_provided,16
CFTR-related_disorders|Cystic_fibrosis|not_specified,16
Kabuki_syndrome_1|Kabuki_syndrome|not_specified|not_provided,15
Fanconi_anemia_complementation_group_A|Fanconi_anemia|not_specified|not_provided,15
Pendred_syndrome|Autosomal_recessive_nonsyndromic_hearing_loss_4|not_provided|Rare_genetic_deafness,15
Congenital_muscular_hypertrophy-cerebral_syndrome,15
LAMA2-related_muscular_dystrophy|Congenital_muscular_dystrophy_due_to_partial_LAMA2_deficiency|not_specified|not_provided,15
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|not_provided",15
Cohen_syndrome|not_provided,15
"Congenital_multicore_myopathy_with_external_ophthalmoplegia|Central_core_myopathy|Malignant_hyperthermia,_susceptibility_to,_1|Congenital_myopathy_with_fiber_type_disproportion|King_Denborough_syndrome|RYR1-Related_Disorders|not_provided",15
Angelman_syndrome,15
Hereditary_cancer-predisposing_syndrome|Juvenile_polyposis_syndrome|Familial_thoracic_aortic_aneurysm_and_aortic_dissection,15
Primary_ciliary_dyskinesia|Primary_ciliary_dyskinesia_7|not_specified|not_provided,15
"Glycogen_storage_disease,_type_II|not_provided",15
Nijmegen_breakage_syndrome-like_disorder|Hereditary_cancer-predisposing_syndrome,15
Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2B|Qualitative_or_quantitative_defects_of_dysferlin|not_specified|not_provided,15
Hereditary_cancer-predisposing_syndrome|PTEN_hamartoma_tumor_syndrome|not_provided,15
Hereditary_diffuse_gastric_adenocarcinoma|Hereditary_cancer-predisposing_syndrome|not_specified|not_provided,15
Pitt-Hopkins-like_syndrome_2|Inborn_genetic_diseases|not_specified|not_provided,15
Renal_carnitine_transport_defect,14
"Emery-Dreifuss_muscular_dystrophy_5,_autosomal_dominant",14
"Hereditary_breast_ovarian_cancer_syndrome|Pancreatic_cancer,_susceptibility_to,_4|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Fanconi_anemia,_complementation_group_S|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_provided",14
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_specified|Breast_and/or_ovarian_cancer|not_provided",14
Carcinoma_of_colon|Hereditary_cancer-predisposing_syndrome|Familial_adenomatous_polyposis_1|not_provided,14
Li-Fraumeni_syndrome,14
